Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity,Concentration area(s),How would you describe your political affiliation?,"Are you a ""legacy"" student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University? ,2.  Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job representing and addressing the concerns of the undergraduate student body?,3. How informed do you feel on the initiatives of the Undergraduate Council of Students and their implementations?,4. Do you agree or disagree that the University should build a new performing arts center on the site of the current Urban Environmental Lab?,5. Did you alter your social media accounts before applying to college? (Circle all that apply),6. How many times have you used Brown‰Ûªs Emergency Medical Services (EMS) in the past academic school year for drug- or alcohol-related instances?,7. Have you ever decided not to call EMS for yourself or a peer for a fear of University or other repercussions?,"8. How often do you participate in religious activities at Brown (church, fellowships, religious associations)?","9. Before coming to Brown, how often did you participate in religious activities?",10. Do you approve or disapprove of the way the University is handling its budget?,"11. If you were in a situation that fell under the jurisdiction of the Title IX office, which handles cases of sexual and gender-based harassment, how comfortable would you feel going to the office for assistance and support?","12. Do you plan to pursue a career in visual, performing or literary arts immediately after graduation?",13.  Have you gone on a new or different birth control recently in response to the political climate?
Female,Junior,None,No,Heterosexual,Asian,Humanities/arts,Other,Yes,No,No opinion,No opinion,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,Yes,Once a year,Once or twice a semester,No opinion,Somewhat uncomfortable,No,No
Female,First-year,Grants and loans,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Strongly approve,Strongly approve,Somewhat uninformed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Sophomore,None,No,Heterosexual,White,"Life sciences, Social sciences",Other,No,No,No opinion,Strongly approve,Very informed,Somewhat disagree,Other,I have not used EMS in the past year,No,Once or twice a semester,Once a week,Strongly approve,Very comfortable,No,No
Male,Senior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Other,No,No,,Somewhat approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,No opinion,No,This question does not apply to me
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Life sciences, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Very informed,Somewhat agree,"Changed profile name on account, Did not make any changes",I have not used EMS in the past year,No,,Never,Somewhat approve,Very comfortable,No,No
Female,Junior,None,No,Heterosexual,White,Life sciences,Democrat,Yes,No,No opinion,Somewhat approve,Somewhat uninformed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,No
Male,Sophomore,None,No,Heterosexual,Black,"Physical sciences (incl. math, CS)",Other,,,No opinion,Somewhat approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,Somewhat approve,Somewhat comfortable,No,No
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Life sciences,Independent,No,No,Somewhat approve,Strongly approve,Very informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,Junior,None,No,Heterosexual,White,,Democrat,No,No,No opinion,No opinion,Very informed,Strongly agree,Deleted certain posts on account,3 times,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,No
Female,First-year,None,No,Heterosexual,White,Life sciences,Democrat,No,No,No opinion,Somewhat approve,No opinion,No opinion,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,No opinion,Changed profile name on account,I have not used EMS in the past year,Yes,Never,Once a year,No opinion,Somewhat comfortable,No,No
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",Republican,No,Yes,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat uncomfortable,No,This question does not apply to me
Female,First-year,Just loans,No,Heterosexual,"White, Hispanic",Social sciences,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Never,Once a week,No opinion,Very comfortable,No,This question does not apply to me
Male,Senior,None,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,Somewhat approve,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",Republican,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat approve,Very comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,First-year,"Grants, covering all costs",No,Other,Hispanic,Humanities/arts,Other,No,Yes,No opinion,Somewhat approve,No opinion,Somewhat agree,Did not make any changes,1 time,No,Once or twice a semester,Once a week,Somewhat disapprove,Somewhat comfortable,Unsure,No
Male,Junior,Grants and loans,No,Gay,Black,Humanities/arts,Independent,No,Yes,Somewhat approve,Strongly approve,Somewhat informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,No opinion,Somewhat comfortable,Yes,This question does not apply to me
Female,First-year,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Strongly approve,No opinion,No opinion,No opinion,"Changed profile name on account, Deleted certain posts on account",I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Senior,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,No opinion,No opinion,Somewhat uninformed,Somewhat agree,Other,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,Unsure,No
Female,First-year,None,No,Heterosexual,White,Social sciences,Democrat,Yes,No,Strongly approve,Somewhat disapprove,Very informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once or twice a semester,Somewhat approve,Very comfortable,No,No
Male,First-year,None,Yes,Heterosexual,White,Social sciences,Republican,No,No,No opinion,Strongly approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Strongly approve,Very comfortable,No,This question does not apply to me
Male,Senior,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Independent,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly disagree,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,This question does not apply to me
Female,First-year,"Grants, covering all costs",No,Bisexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,No opinion,No,No
Male,Sophomore,Grants and loans,No,Heterosexual,"White, Hispanic","Physical sciences (incl. math, CS)",Independent,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,Somewhat comfortable,No,No
Male,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,Other,No,No,Somewhat approve,Somewhat approve,No opinion,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,Yes,No
Female,First-year,Grants and loans,No,Heterosexual,"White, Black","Life sciences, Physical sciences (incl. math, CS)",Independent,No,Yes,Somewhat approve,Somewhat approve,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,Yes
Female,Junior,"Grants, covering some costs",No,Heterosexual,White,Life sciences,Democrat,Yes,No,Somewhat approve,No opinion,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once or twice a month,Somewhat disapprove,Somewhat uncomfortable,No,No
Female,Senior,Grants and loans,No,Heterosexual,Black,Humanities/arts,Other,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,No opinion,Somewhat uncomfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,First-year,Grants and loans,No,Heterosexual,"White, Black","Humanities/arts, Life sciences",Democrat,No,Yes,No opinion,Somewhat approve,No opinion,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Strongly disapprove,No opinion,No,No
Male,First-year,Just loans,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Democrat,Yes,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once a year,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences",Democrat,No,No,Somewhat disapprove,Somewhat disapprove,Very informed,Strongly agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once a week,Strongly disapprove,Very uncomfortable,No,This question does not apply to me
Female,First-year,Grants and loans,No,Heterosexual,"White, Black",Social sciences,Independent,No,Yes,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,Yes,Once a week,Once a week,No opinion,Very comfortable,No,No
Male,First-year,None,No,Heterosexual,White,Humanities/arts,Republican,Yes,No,No opinion,Strongly approve,Very informed,No opinion,Did not make any changes,I have not used EMS in the past year,Yes,Once a year,Once a year,Strongly approve,Very comfortable,No,This question does not apply to me
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly disagree,Deleted certain posts on account,I have not used EMS in the past year,Yes,Never,Never,No opinion,Somewhat uncomfortable,Yes,This question does not apply to me
Male,Junior,Grants and loans,No,Gay,White,Life sciences,Other,No,No,Somewhat disapprove,Somewhat disapprove,Somewhat informed,Somewhat disagree,"Changed profile name on account, Deleted certain posts on account",I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Male,Junior,Grants and loans,Yes,Heterosexual,"White, Hispanic",Social sciences,Independent,No,No,Somewhat disapprove,No opinion,Somewhat informed,No opinion,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once a year,Strongly disapprove,Somewhat comfortable,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,"White, Black",Humanities/arts,Other,Yes,No,No opinion,Somewhat approve,Somewhat informed,Somewhat disagree,Changed profile name on account,I have not used EMS in the past year,No,Never,Once a year,No opinion,Somewhat uncomfortable,Unsure,No
Female,Junior,Grants and loans,No,Heterosexual,Hispanic,"Life sciences, Social sciences",Democrat,No,Yes,Somewhat approve,No opinion,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Very comfortable,No,No
Male,Junior,None,Yes,Heterosexual,White,Social sciences,Republican,No,No,Somewhat disapprove,No opinion,No opinion,No opinion,Deleted certain posts on account,I have not used EMS in the past year,No,Once a year,Once or twice a month,Somewhat disapprove,No opinion,No,This question does not apply to me
Male,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,Yes,No,Somewhat approve,Strongly approve,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,This question does not apply to me
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Hispanic,Social sciences,Other,No,Yes,No opinion,No opinion,Not at all informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a semester,Somewhat disapprove,Somewhat comfortable,No,No
Female,First-year,"Grants, covering all costs",No,Heterosexual,American Indian/Alaska Native,"Humanities/arts, Social sciences",Democrat,No,Yes,Somewhat disapprove,Somewhat approve,Somewhat uninformed,Strongly disagree,"Deleted certain posts on account, Deleted entire account",I have not used EMS in the past year,Yes,Never,Never,Strongly disapprove,Very uncomfortable,No,No
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Other,Yes,No,No opinion,No opinion,No opinion,Strongly agree,Did not make any changes,1 time,No,Never,Once a year,No opinion,No opinion,No,No
Female,Sophomore,None,No,Heterosexual,"White, Asian",Humanities/arts,Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,No
Male,Junior,None,Yes,Heterosexual,"White, Native Hawaiian/Pacific Islander","Physical sciences (incl. math, CS)",Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,Somewhat comfortable,No,No
Female,Junior,None,No,Other,White,Humanities/arts,Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly disagree,Changed profile name on account,I have not used EMS in the past year,No,Once a week,Once a year,Somewhat disapprove,Very comfortable,No,No
Female,Junior,None,No,Heterosexual,Asian,Life sciences,Independent,No,No,No opinion,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,This question does not apply to me
Female,First-year,Grants and loans,No,Bisexual,"White, Hispanic",Humanities/arts,Democrat,No,No,Somewhat approve,Somewhat disapprove,Somewhat informed,Strongly disagree,Deleted certain posts on account,1 time,No,Never,Once a year,Strongly disapprove,Very uncomfortable,Unsure,Yes
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,Somewhat disapprove,Strongly approve,Somewhat uninformed,No opinion,Changed profile name on account,1 time,No,Never,Once or twice a semester,No opinion,Very comfortable,Unsure,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS), Social sciences",Other,Yes,No,Strongly approve,Strongly approve,Not at all informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once or twice a month,Somewhat disapprove,No opinion,No,This question does not apply to me
Male,Junior,"Grants, covering some costs",No,Heterosexual,"White, Black","Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Strongly approve,Very informed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Male,Junior,Grants and loans,No,Heterosexual,White,"Life sciences, Physical sciences (incl. math, CS)",Republican,No,Yes,Somewhat approve,Somewhat approve,No opinion,Strongly disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Once a week,Once a week,Somewhat approve,Very comfortable,No,This question does not apply to me
Male,Junior,"Grants, covering some costs",No,Heterosexual,"White, Hispanic",Life sciences,Republican,No,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once or twice a month,Somewhat approve,No opinion,No,No
Male,Junior,Grants and loans,Yes,Heterosexual,White,Social sciences,Republican,No,Yes,No opinion,Strongly disapprove,Very informed,Strongly disagree,,I have not used EMS in the past year,No,Once a week,Once a week,Strongly disapprove,Somewhat comfortable,No,This question does not apply to me
Male,Junior,None,No,Gay,Asian,Social sciences,Democrat,No,No,Strongly approve,Somewhat approve,Somewhat informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,Sophomore,Grants and loans,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a semester,Somewhat approve,Somewhat comfortable,No,This question does not apply to me
Female,First-year,Just loans,No,Heterosexual,Asian,"Life sciences, Social sciences",Democrat,No,No,Somewhat approve,No opinion,No opinion,Strongly disagree,Did not make any changes,I have not used EMS in the past year,Yes,Never,Never,Somewhat disapprove,Somewhat comfortable,No,No
Female,Junior,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Other,No,Yes,Somewhat disapprove,Strongly approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,Yes
Female,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences,Democrat,No,No,No opinion,No opinion,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,Yes,Never,Never,Somewhat disapprove,Very uncomfortable,No,Yes
Male,Junior,None,No,Heterosexual,White,Social sciences,Independent,No,Yes,No opinion,No opinion,Somewhat informed,Strongly disagree,Changed profile name on account,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,This question does not apply to me
Female,First-year,None,No,Heterosexual,White,Life sciences,Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once a week,Somewhat disapprove,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,Somewhat approve,Strongly approve,Somewhat uninformed,Somewhat agree,Changed profile name on account,I have not used EMS in the past year,No,Once a year,Once a year,No opinion,Somewhat comfortable,Unsure,"I have gone on a new or different birth control, but not in response to the political climate"
Male,Senior,None,No,Gay,White,Social sciences,Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,Yes,Never,Once a year,Somewhat disapprove,No opinion,No,This question does not apply to me
Male,First-year,"Grants, covering all costs",No,Gay,Hispanic,"Physical sciences (incl. math, CS)",Independent,No,Yes,Somewhat approve,Somewhat approve,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,This question does not apply to me
Male,Senior,Grants and loans,Yes,Bisexual,White,"Life sciences, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,No opinion,No opinion,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,Unsure,This question does not apply to me
Female,Sophomore,"Grants, covering some costs",No,Other,"White, Asian, Other",Humanities/arts,Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,Strongly disagree,Deleted certain posts on account,1 time,No,Never,Once a year,Somewhat disapprove,Very comfortable,Unsure,Yes
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Hispanic,Life sciences,Democrat,No,Yes,No opinion,Somewhat approve,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,Somewhat disapprove,Somewhat comfortable,No,No
Female,Junior,None,No,Heterosexual,White,Social sciences,Democrat,Yes,No,Somewhat approve,Strongly approve,Somewhat uninformed,Strongly agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once or twice a semester,No opinion,Somewhat comfortable,No,No
Male,Junior,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences",Other,No,Yes,Somewhat approve,Somewhat disapprove,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Strongly disapprove,,Unsure,This question does not apply to me
Male,First-year,"Grants, covering some costs",No,Gay,White,Life sciences,Republican,No,Yes,Strongly approve,Somewhat approve,No opinion,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Once a week,Once or twice a semester,Somewhat approve,Very comfortable,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,"White, Other","Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,No opinion,No,No
Female,Junior,None,No,Bisexual,"White, Hispanic","Humanities/arts, Social sciences",Independent,No,No,No opinion,Somewhat approve,No opinion,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Strongly disapprove,Somewhat uncomfortable,No,No
Female,Sophomore,None,No,Heterosexual,Asian,Social sciences,Democrat,,,Somewhat approve,Somewhat approve,No opinion,Strongly agree,Deleted certain posts on account,1 time,No,Never,Never,No opinion,Somewhat comfortable,Yes,Yes
Female,Sophomore,None,No,Heterosexual,"White, Hispanic",Social sciences,Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,Somewhat agree,Changed profile name on account,I have not used EMS in the past year,No,Never,Once or twice a semester,No opinion,Somewhat comfortable,No,No
Male,Sophomore,None,Yes,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Other,No,No,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,No opinion,No opinion,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,White,Life sciences,Democrat,No,No,Strongly approve,Strongly approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once a year,No opinion,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,"Asian, American Indian/Alaska Native",Social sciences,Democrat,No,No,Somewhat approve,Strongly approve,Very informed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,No
Male,Sophomore,None,No,Gay,Asian,"Physical sciences (incl. math, CS), Social sciences",Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very uncomfortable,No,No
Female,First-year,None,No,Bisexual,Asian,"Humanities/arts, Social sciences",Other,No,No,No opinion,Strongly approve,Very informed,Somewhat agree,Other,I have not used EMS in the past year,No,Once or twice a semester,Once or twice a semester,No opinion,Somewhat uncomfortable,Unsure,No
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences,Democrat,No,No,No opinion,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,No opinion,No,This question does not apply to me
Female,Senior,Just loans,No,Heterosexual,Asian,Life sciences,Democrat,No,Yes,Somewhat approve,No opinion,Not at all informed,Somewhat agree,Other,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat comfortable,No,No
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,"Humanities/arts, Social sciences",Other,No,Yes,Somewhat disapprove,Somewhat approve,Somewhat uninformed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Once a year,Once or twice a month,Strongly disapprove,Very uncomfortable,Unsure,No
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,Independent,No,No,Somewhat disapprove,Somewhat disapprove,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,,Once or twice a month,Once a week,No opinion,Somewhat uncomfortable,No,No
Female,Junior,Grants and loans,No,Bisexual,Hispanic,Life sciences,Republican,No,No,Strongly approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,1 time,No,Never,Never,Somewhat approve,Somewhat comfortable,No,No
Female,Junior,None,No,Bisexual,"White, Hispanic",Social sciences,Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once a year,Strongly disapprove,Somewhat comfortable,No,No
Female,First-year,None,No,Heterosexual,Hispanic,Life sciences,Democrat,Yes,No,No opinion,Somewhat approve,Somewhat informed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,No opinion,No,No
,First-year,None,Yes,Bisexual,Black,Humanities/arts,Republican,Yes,Yes,Somewhat approve,No opinion,No opinion,Strongly disagree,Deleted entire account,5+ times,Yes,Once a week,Once a year,No opinion,No opinion,Yes,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Junior,"Grants, covering some costs",No,Bisexual,"White, Asian",Social sciences,Other,No,No,Somewhat disapprove,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a semester,Somewhat disapprove,Very comfortable,No,No
Female,Sophomore,None,No,Heterosexual,White,Life sciences,Democrat,No,No,Strongly approve,No opinion,No opinion,No opinion,Did not make any changes,3 times,No,Never,Never,No opinion,Very comfortable,No,No
Male,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Other,Yes,No,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once or twice a month,Once a week,No opinion,No opinion,No,This question does not apply to me
Male,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Other,No,No,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,Yes,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences",Democrat,No,No,No opinion,No opinion,No opinion,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Female,Sophomore,Just loans,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat disapprove,Somewhat approve,Somewhat informed,Strongly disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,Asian,Life sciences,Democrat,No,No,No opinion,No opinion,Not at all informed,No opinion,Other,I have not used EMS in the past year,No,Once or twice a semester,Never,No opinion,Somewhat comfortable,Unsure,No
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,Somewhat disapprove,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once a week,,Strongly disapprove,Somewhat comfortable,Yes,This question does not apply to me
Male,Junior,"Grants, covering some costs",No,Gay,White,"Physical sciences (incl. math, CS), Social sciences",Democrat,No,No,Strongly approve,Strongly approve,Somewhat informed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once or twice a semester,Somewhat approve,Somewhat comfortable,No,No
Male,First-year,None,No,Heterosexual,Asian,Humanities/arts,Independent,No,Yes,Somewhat approve,No opinion,No opinion,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,No opinion,No opinion,Unsure,No
Male,Senior,Grants and loans,No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",Independent,No,Yes,No opinion,Somewhat approve,No opinion,Somewhat disagree,Did not make any changes,1 time,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,Somewhat disagree,Did not make any changes,2 times,No,Once or twice a month,Once or twice a month,Somewhat disapprove,Somewhat comfortable,Yes,This question does not apply to me
Male,Junior,None,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,Somewhat approve,No opinion,Somewhat informed,Strongly disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once a week,Strongly disapprove,No opinion,No,No
Female,Junior,None,No,Heterosexual,Asian,Social sciences,Independent,No,No,Somewhat approve,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once or twice a month,Somewhat approve,Somewhat comfortable,No,Yes
Male,Senior,Grants and loans,No,Heterosexual,,Humanities/arts,Democrat,No,No,Somewhat approve,No opinion,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,No opinion,Yes,This question does not apply to me
